club,aim_offset,mean_birdie_prob,var_birdie_prob
3-wood,20.0,0.11960661311944326,0.0005087637288617044
3Q 60 deg,-20.0,-0.000430301825205485,1.857294325949215e-06
3Q 60 deg,-18.0,-0.0007673069834709167,8.023806490838524e-07
3Q 60 deg,-16.0,-0.0005778695146242777,6.167553307191553e-07
3Q 60 deg,-14.0,-0.0002756863832473755,1.3398643073407138e-06
3Q 60 deg,-12.0,-0.0005712841947873433,1.7236552499919377e-06
3Q 60 deg,-10.0,-0.0005870913465817769,1.133388528488223e-06
3Q 60 deg,-8.0,-0.0005378246307373047,1.8552869517781305e-06
3Q 60 deg,-6.0,-0.0005588804682095846,1.8686851695975333e-06
3Q 60 deg,-4.0,-0.0008843262990315755,8.047475768396199e-07
3Q 60 deg,-2.0,-0.0006868342558542887,1.3010511623661675e-06
3Q 60 deg,0.0,-0.000859960416952769,1.8541361590441856e-06
3Q 60 deg,2.0,-0.0004845937093098958,2.037877092419846e-06
3Q 60 deg,4.0,-0.0006118997931480408,1.714528607034508e-06
3Q 60 deg,6.0,-0.0005527456601460774,1.2101694054224132e-06
3Q 60 deg,8.0,-0.0003234302004178365,3.511173235692697e-06
3Q 60 deg,10.0,-0.0006777629256248474,2.2546598575012844e-06
3Q 60 deg,12.0,-0.0013281380136807759,7.582771465705936e-07
3Q 60 deg,14.0,-0.001050645609696706,1.089921197183516e-06
3Q 60 deg,16.0,-0.0012133200963338217,6.750434080269072e-07
3Q 60 deg,18.0,-0.000798611839612325,1.2942987174163137e-06
3Q 60 deg,20.0,-0.0012760082880655923,6.887890831583674e-07
4 Iron,-20.0,0.16037713636954626,0.0007646454676741363
4 Iron,-18.0,0.16856108903884887,0.0006087551639435329
4 Iron,-16.0,0.17412510762612024,0.0003546243369866247
4 Iron,-14.0,0.17267679472764333,0.0005787045673863971
4 Iron,-12.0,0.1660814846555392,0.0008676479685142686
4 Iron,-10.0,0.17193206722537677,0.0005826900807594391
4 Iron,-8.0,0.17263327886660892,0.0006158222111026965
4 Iron,-6.0,0.1626328147947788,0.0008918654072278703
4 Iron,-4.0,0.17222022165854772,0.0004784800854363863
4 Iron,-2.0,0.17123677879571914,0.0005929814102982457
4 Iron,0.0,0.1715327764550845,0.0005968480282587331
4 Iron,2.0,0.17607507208983103,0.000425599919163221
4 Iron,4.0,0.17712800403436024,0.0004965563445213149
4 Iron,6.0,0.17107949381073315,0.0004745229587317026
4 Iron,8.0,0.1698533996939659,0.0007419380631377171
4 Iron,10.0,0.17089684158563614,0.0006838610206872464
4 Iron,12.0,0.17670492480198544,0.0003030273802099182
4 Iron,14.0,0.16601541091998417,0.0005137554577589647
4 Iron,16.0,0.17159185608228048,0.0005132192368155576
4 Iron,18.0,0.16467575530211132,0.0008455551974060446
4 Iron,20.0,0.16926749447981518,0.00033319484143336237
