x,y,club,aim_offset,mean_birdie_prob,var_birdie_prob,n_total,seed,N
48.888888888888886,119.3444216454791,Driver,2.0,0.03598901629447937,0.024608973413705826,20,42,20
60.0,119.3444216454791,Driver,16.0,0.0012201741337776184,2.828767719620373e-05,20,42,20
-40.0,128.01247435116397,Driver,4.0,0.07475799322128296,0.05085373669862747,20,42,20
-28.88888888888889,128.01247435116397,Driver,0.0,0.07597418129444122,0.03919801861047745,20,42,20
-17.77777777777778,128.01247435116397,Driver,-12.0,0.04028235003352165,0.010211092419922352,20,42,20
-6.666666666666671,128.01247435116397,Driver,2.0,0.08576797693967819,0.05639545992016792,20,42,20
4.444444444444443,128.01247435116397,3-wood,14.0,0.1365206241607666,0.08440481126308441,20,42,20
15.555555555555557,128.01247435116397,3-wood,2.0,0.1370367556810379,0.06984204798936844,20,42,20
26.666666666666657,128.01247435116397,3-wood,8.0,0.13911858201026917,0.08135697990655899,20,42,20
37.77777777777777,128.01247435116397,3-wood,-8.0,0.10907852649688721,0.06881868839263916,20,42,20
48.888888888888886,128.01247435116397,Driver,2.0,0.037320755422115326,0.012857886031270027,20,42,20
60.0,128.01247435116397,Driver,20.0,0.0016763389576226473,5.3392133850138634e-05,20,42,20
-40.0,136.68052705684886,Driver,-4.0,0.07359276711940765,0.04200369864702225,20,42,20
-28.88888888888889,136.68052705684886,Driver,20.0,0.08363795280456543,0.04152076691389084,20,42,20
-17.77777777777778,136.68052705684886,Driver,-18.0,0.09248831868171692,0.05110611766576767,20,42,20
-6.666666666666671,136.68052705684886,Driver,14.0,0.15126994252204895,0.07376258075237274,20,42,20
4.444444444444443,136.68052705684886,3-wood,-12.0,0.12995272874832153,0.07802872359752655,20,42,20
15.555555555555557,136.68052705684886,3-wood,-12.0,0.14184394478797913,0.08173546195030212,20,42,20
26.666666666666657,136.68052705684886,3-wood,2.0,0.24236395955085754,0.12475470453500748,20,42,20
37.77777777777777,136.68052705684886,5-wood,20.0,0.1462479531764984,0.07533227652311325,20,42,20
48.888888888888886,136.68052705684886,Driver,8.0,0.08437977731227875,0.06414858251810074,20,42,20
60.0,136.68052705684886,Driver,10.0,0.077132448554039,0.05354594439268112,20,42,20
-40.0,145.34857976253375,5-wood,16.0,0.015453318133950233,0.004537296015769243,20,42,20
-28.88888888888889,145.34857976253375,5-wood,6.0,0.030861616134643555,0.018096350133419037,20,42,20
-17.77777777777778,145.34857976253375,3-wood,6.0,0.0737857073545456,0.050325535237789154,20,42,20
-6.666666666666671,145.34857976253375,4 Iron,16.0,0.11893068253993988,0.08138372749090195,20,42,20
4.444444444444443,145.34857976253375,5-wood,2.0,0.1695120632648468,0.11281821876764297,20,42,20
15.555555555555557,145.34857976253375,5-wood,10.0,0.1764340102672577,0.08672739565372467,20,42,20
26.666666666666657,145.34857976253375,5-wood,8.0,0.20609477162361145,0.09548710286617279,20,42,20
37.77777777777777,145.34857976253375,Hybrid,4.0,0.137284055352211,0.07094872742891312,20,42,20
48.888888888888886,145.34857976253375,3-wood,6.0,0.06319114565849304,0.040499307215213776,20,42,20
60.0,145.34857976253375,3-wood,14.0,0.03432371839880943,0.022384237498044968,20,42,20
-40.0,154.01663246821866,3-wood,6.0,0.08114852011203766,0.05337236076593399,20,42,20
-28.88888888888889,154.01663246821866,3-wood,0.0,0.09226756542921066,0.050322551280260086,20,42,20
-17.77777777777778,154.01663246821866,3-wood,10.0,0.0937279611825943,0.06070595979690552,20,42,20
-6.666666666666671,154.01663246821866,Hybrid,-8.0,0.24480409920215607,0.12632404267787933,20,42,20
4.444444444444443,154.01663246821866,Hybrid,-4.0,0.20943541824817657,0.09381338208913803,20,42,20
15.555555555555557,154.01663246821866,Hybrid,6.0,0.18138141930103302,0.0967026799917221,20,42,20
26.666666666666657,154.01663246821866,Hybrid,0.0,0.18658332526683807,0.08898128569126129,20,42,20
37.77777777777777,154.01663246821866,Hybrid,-6.0,0.14012421667575836,0.08058257400989532,20,42,20
48.888888888888886,154.01663246821866,3-wood,18.0,0.04230011627078056,0.03399669751524925,20,42,20
60.0,154.01663246821866,3-wood,-6.0,0.03765455633401871,0.026939446106553078,20,42,20
-40.0,162.68468517390355,5-wood,14.0,0.08461322635412216,0.05742857977747917,20,42,20
-28.88888888888889,162.68468517390355,5-wood,16.0,0.09125252813100815,0.06267596781253815,20,42,20
-17.77777777777778,162.68468517390355,5-wood,8.0,0.05567532032728195,0.032631367444992065,20,42,20
-6.666666666666671,162.68468517390355,5 Iron,0.0,0.17287307977676392,0.08772603422403336,20,42,20
4.444444444444443,162.68468517390355,Hybrid,-10.0,0.14027690887451172,0.05913070961833,20,42,20
15.555555555555557,162.68468517390355,4 Iron,0.0,0.18748974800109863,0.10434923321008682,20,42,20
26.666666666666657,162.68468517390355,Hybrid,0.0,0.18419212102890015,0.09245693683624268,20,42,20
37.77777777777777,162.68468517390355,Hybrid,-2.0,0.21810384094715118,0.0826004147529602,20,42,20
48.888888888888886,162.68468517390355,4 Iron,-10.0,0.20710739493370056,0.08757702261209488,20,42,20
60.0,162.68468517390355,3-wood,12.0,0.07721521705389023,0.054267026484012604,20,42,20
-40.0,171.35273787958843,5-wood,-16.0,0.09431512653827667,0.051418375223875046,20,42,20
-28.88888888888889,171.35273787958843,Hybrid,6.0,0.06628572195768356,0.03434629365801811,20,42,20
-17.77777777777778,171.35273787958843,Hybrid,12.0,0.12283606827259064,0.06982047855854034,20,42,20
-6.666666666666671,171.35273787958843,5 Iron,-8.0,0.1946093738079071,0.07364246249198914,20,42,20
4.444444444444443,171.35273787958843,6 Iron,-14.0,0.1371830701828003,0.07625654339790344,20,42,20
15.555555555555557,171.35273787958843,5 Iron,2.0,0.18249860405921936,0.09093951433897018,20,42,20
26.666666666666657,171.35273787958843,5 Iron,-16.0,0.146497443318367,0.07587900012731552,20,42,20
37.77777777777777,171.35273787958843,5 Iron,-2.0,0.18506720662117004,0.0800819844007492,20,42,20
48.888888888888886,171.35273787958843,5 Iron,2.0,0.19963037967681885,0.10622911155223846,20,42,20
60.0,171.35273787958843,5-wood,14.0,0.08425544202327728,0.037178315222263336,20,42,20
-40.0,180.02079058527332,5 Iron,-2.0,0.12248078733682632,0.06212751939892769,20,42,20
-28.88888888888889,180.02079058527332,Hybrid,4.0,0.1414065659046173,0.07441800832748413,20,42,20
-17.77777777777778,180.02079058527332,4 Iron,8.0,0.11236613988876343,0.058880340307950974,20,42,20
-6.666666666666671,180.02079058527332,6 Iron,-8.0,0.22042235732078552,0.0998215526342392,20,42,20
4.444444444444443,180.02079058527332,6 Iron,0.0,0.16259455680847168,0.10110054910182953,20,42,20
15.555555555555557,180.02079058527332,6 Iron,2.0,0.1491224318742752,0.04649811238050461,20,42,20
26.666666666666657,180.02079058527332,6 Iron,-2.0,0.13746897876262665,0.042338356375694275,20,42,20
37.77777777777777,180.02079058527332,6 Iron,12.0,0.13802051544189453,0.08570541441440582,20,42,20
48.888888888888886,180.02079058527332,5 Iron,-2.0,0.14332720637321472,0.06494027376174927,20,42,20
60.0,180.02079058527332,4 Iron,4.0,0.07675055414438248,0.05308208987116814,20,42,20
-40.0,188.6888432909582,4 Iron,0.0,0.1404309719800949,0.050424616783857346,20,42,20
-28.88888888888889,188.6888432909582,5 Iron,6.0,0.08997435867786407,0.0479162260890007,20,42,20
-17.77777777777778,188.6888432909582,5 Iron,-14.0,0.11970354616641998,0.07453452050685883,20,42,20
-6.666666666666671,188.6888432909582,7 Iron,-2.0,0.23877796530723572,0.09609970450401306,20,42,20
4.444444444444443,188.6888432909582,7 Iron,4.0,0.2885332405567169,0.0956989973783493,20,42,20
15.555555555555557,188.6888432909582,7 Iron,4.0,0.16434665024280548,0.07488048076629639,20,42,20
26.666666666666657,188.6888432909582,7 Iron,2.0,0.24946799874305725,0.10484340041875839,20,42,20
37.77777777777777,188.6888432909582,Driver,0.0,0.0,0.0,0,42,20
48.888888888888886,188.6888432909582,Driver,0.0,0.0,0.0,0,42,20
60.0,188.6888432909582,4 Iron,-8.0,0.09771125018596649,0.06293292343616486,20,42,20
-40.0,197.3568959966431,5 Iron,-12.0,0.127402663230896,0.06329094618558884,20,42,20
-28.88888888888889,197.3568959966431,6 Iron,12.0,0.08249358087778091,0.040197473019361496,20,42,20
-17.77777777777778,197.3568959966431,6 Iron,10.0,0.17912879586219788,0.09724736958742142,20,42,20
