x,y,N,tolerance,club_agreement,aim_agreement,median_aim,n_seeds
-40.0,93.34026352842444,300,3,0.93,0.92,20.0,100
-40.0,102.00831623410932,10,1,0.91,0.07,-4.0,100
-40.0,102.00831623410932,10,2,0.91,0.27,-4.0,100
-40.0,102.00831623410932,10,3,0.91,0.27,-4.0,100
-40.0,102.00831623410932,20,1,0.86,0.09,-4.0,100
-40.0,102.00831623410932,20,2,0.86,0.21,-4.0,100
-40.0,102.00831623410932,20,3,0.86,0.21,-4.0,100
-40.0,102.00831623410932,30,1,0.78,0.06,0.0,100
-40.0,102.00831623410932,30,2,0.78,0.11,0.0,100
-40.0,102.00831623410932,30,3,0.78,0.11,0.0,100
-40.0,102.00831623410932,50,1,0.71,0.08,-2.0,100
-40.0,102.00831623410932,50,2,0.71,0.2,-2.0,100
-40.0,102.00831623410932,50,3,0.71,0.2,-2.0,100
-40.0,102.00831623410932,100,1,0.52,0.02,10.0,100
-40.0,102.00831623410932,100,2,0.52,0.04,10.0,100
-40.0,102.00831623410932,100,3,0.52,0.04,10.0,100
-40.0,102.00831623410932,150,1,0.38,0.15,18.0,100
-40.0,102.00831623410932,150,2,0.38,0.59,18.0,100
-40.0,102.00831623410932,150,3,0.38,0.59,18.0,100
-40.0,102.00831623410932,200,1,0.37,0.15,18.0,100
-40.0,102.00831623410932,200,2,0.37,0.69,18.0,100
-40.0,102.00831623410932,200,3,0.37,0.69,18.0,100
-40.0,102.00831623410932,250,1,0.42,0.57,20.0,100
-40.0,102.00831623410932,250,2,0.42,0.7,20.0,100
-40.0,102.00831623410932,250,3,0.42,0.7,20.0,100
-40.0,102.00831623410932,300,1,0.46,0.67,20.0,100
-40.0,102.00831623410932,300,2,0.46,0.83,20.0,100
-40.0,102.00831623410932,300,3,0.46,0.83,20.0,100
-40.0,110.67636893979422,10,1,0.99,0.14,-11.0,100
-40.0,110.67636893979422,10,2,0.99,0.14,-11.0,100
-40.0,110.67636893979422,10,3,0.99,0.24,-11.0,100
-40.0,110.67636893979422,20,1,0.97,0.08,-12.0,100
-40.0,110.67636893979422,20,2,0.97,0.25,-12.0,100
-40.0,110.67636893979422,20,3,0.97,0.25,-12.0,100
-40.0,110.67636893979422,30,1,1.0,0.14,-14.0,100
-40.0,110.67636893979422,30,2,1.0,0.35,-14.0,100
-40.0,110.67636893979422,30,3,1.0,0.35,-14.0,100
-40.0,110.67636893979422,50,1,0.98,0.11,-14.0,100
-40.0,110.67636893979422,50,2,0.98,0.38,-14.0,100
-40.0,110.67636893979422,50,3,0.98,0.38,-14.0,100
-40.0,110.67636893979422,100,1,0.99,0.11,-16.0,100
-40.0,110.67636893979422,100,2,0.99,0.42,-16.0,100
-40.0,110.67636893979422,100,3,0.99,0.42,-16.0,100
-40.0,110.67636893979422,150,1,1.0,0.17,-18.0,100
-40.0,110.67636893979422,150,2,1.0,0.66,-18.0,100
-40.0,110.67636893979422,150,3,1.0,0.66,-18.0,100
-40.0,110.67636893979422,200,1,0.99,0.17,-18.0,100
-40.0,110.67636893979422,200,2,0.99,0.74,-18.0,100
-40.0,110.67636893979422,200,3,0.99,0.74,-18.0,100
-40.0,110.67636893979422,250,1,0.99,0.27,-18.0,100
-40.0,110.67636893979422,250,2,0.99,0.77,-18.0,100
-40.0,110.67636893979422,250,3,0.99,0.77,-18.0,100
-40.0,110.67636893979422,300,1,1.0,0.24,-18.0,100
-40.0,110.67636893979422,300,2,1.0,0.83,-18.0,100
-40.0,110.67636893979422,300,3,1.0,0.83,-18.0,100
-40.0,119.3444216454791,10,1,0.96,0.18,-13.0,100
-40.0,119.3444216454791,10,2,0.96,0.18,-13.0,100
-40.0,119.3444216454791,10,3,0.96,0.41,-13.0,100
-40.0,119.3444216454791,20,1,0.93,0.15,-16.0,100
-40.0,119.3444216454791,20,2,0.93,0.44,-16.0,100
-40.0,119.3444216454791,20,3,0.93,0.44,-16.0,100
-40.0,119.3444216454791,30,1,0.95,0.15,-16.0,100
-40.0,119.3444216454791,30,2,0.95,0.4,-16.0,100
-40.0,119.3444216454791,30,3,0.95,0.4,-16.0,100
-40.0,119.3444216454791,50,1,0.94,0.19,-18.0,100
-40.0,119.3444216454791,50,2,0.94,0.63,-18.0,100
-40.0,119.3444216454791,50,3,0.94,0.63,-18.0,100
-40.0,119.3444216454791,100,1,0.97,0.22,-18.0,100
-40.0,119.3444216454791,100,2,0.97,0.72,-18.0,100
-40.0,119.3444216454791,100,3,0.97,0.72,-18.0,100
-40.0,119.3444216454791,150,1,1.0,0.28,-18.0,100
-40.0,119.3444216454791,150,2,1.0,0.81,-18.0,100
-40.0,119.3444216454791,150,3,1.0,0.81,-18.0,100
-40.0,119.3444216454791,200,1,1.0,0.3,-18.0,100
-40.0,119.3444216454791,200,2,1.0,0.9,-18.0,100
-40.0,119.3444216454791,200,3,1.0,0.9,-18.0,100
-40.0,119.3444216454791,250,1,1.0,0.54,-20.0,100
-40.0,119.3444216454791,250,2,1.0,0.81,-20.0,100
-40.0,119.3444216454791,250,3,1.0,0.81,-20.0,100
-40.0,119.3444216454791,300,1,1.0,0.52,-20.0,100
-40.0,119.3444216454791,300,2,1.0,0.81,-20.0,100
-40.0,119.3444216454791,300,3,1.0,0.81,-20.0,100
-40.0,128.01247435116397,10,1,0.97,0.11,-14.0,100
-40.0,128.01247435116397,10,2,0.97,0.34,-14.0,100
-40.0,128.01247435116397,10,3,0.97,0.34,-14.0,100
-40.0,128.01247435116397,20,1,0.96,0.13,-14.0,100
