seed,N_from,N_to,N,tolerance,match_rate
13,100,150,150,1,63.21428571428571
13,100,150,150,2,76.78571428571429
13,100,150,150,3,76.78571428571429
13,150,200,200,1,63.21428571428571
13,150,200,200,2,75.0
13,150,200,200,3,75.0
13,200,250,250,1,71.42857142857143
13,200,250,250,2,78.57142857142857
13,200,250,250,3,78.57142857142857
13,250,300,300,1,76.07142857142857
13,250,300,300,2,87.14285714285714
13,250,300,300,3,87.14285714285714
14,10,20,20,1,36.42857142857142
14,10,20,20,2,47.14285714285714
14,10,20,20,3,47.14285714285714
14,20,30,30,1,45.357142857142854
14,20,30,30,2,53.57142857142857
14,20,30,30,3,53.57142857142857
14,30,50,50,1,49.28571428571429
14,30,50,50,2,61.07142857142858
14,30,50,50,3,61.07142857142858
14,50,100,100,1,46.785714285714285
14,50,100,100,2,58.92857142857143
14,50,100,100,3,58.92857142857143
14,100,150,150,1,56.785714285714285
14,100,150,150,2,71.07142857142857
14,100,150,150,3,71.07142857142857
14,150,200,200,1,68.57142857142857
14,150,200,200,2,81.07142857142857
14,150,200,200,3,81.07142857142857
14,200,250,250,1,72.85714285714285
14,200,250,250,2,84.64285714285714
14,200,250,250,3,84.64285714285714
14,250,300,300,1,72.5
14,250,300,300,2,85.71428571428571
14,250,300,300,3,85.71428571428571
15,10,20,20,1,33.214285714285715
15,10,20,20,2,42.142857142857146
15,10,20,20,3,42.142857142857146
15,20,30,30,1,43.57142857142857
15,20,30,30,2,55.00000000000001
15,20,30,30,3,55.00000000000001
15,30,50,50,1,45.0
15,30,50,50,2,57.49999999999999
15,30,50,50,3,57.49999999999999
15,50,100,100,1,43.214285714285715
15,50,100,100,2,56.07142857142857
15,50,100,100,3,56.07142857142857
15,100,150,150,1,57.85714285714286
15,100,150,150,2,70.0
15,100,150,150,3,70.0
15,150,200,200,1,68.57142857142857
15,150,200,200,2,80.71428571428572
15,150,200,200,3,80.71428571428572
15,200,250,250,1,72.85714285714285
15,200,250,250,2,82.85714285714286
15,200,250,250,3,82.85714285714286
15,250,300,300,1,70.35714285714286
15,250,300,300,2,81.42857142857143
15,250,300,300,3,81.42857142857143
16,10,20,20,1,35.0
16,10,20,20,2,45.0
16,10,20,20,3,45.0
16,20,30,30,1,52.142857142857146
16,20,30,30,2,61.78571428571429
16,20,30,30,3,61.78571428571429
16,30,50,50,1,51.78571428571429
16,30,50,50,2,61.07142857142858
16,30,50,50,3,61.07142857142858
16,50,100,100,1,47.5
16,50,100,100,2,62.5
16,50,100,100,3,62.5
16,100,150,150,1,63.92857142857142
16,100,150,150,2,77.5
16,100,150,150,3,77.5
16,150,200,200,1,64.64285714285715
16,150,200,200,2,77.14285714285715
16,150,200,200,3,77.14285714285715
16,200,250,250,1,75.35714285714286
16,200,250,250,2,84.64285714285714
16,200,250,250,3,84.64285714285714
16,250,300,300,1,69.64285714285714
16,250,300,300,2,85.35714285714285
16,250,300,300,3,85.35714285714285
17,10,20,20,1,35.35714285714286
17,10,20,20,2,45.0
17,10,20,20,3,45.0
17,20,30,30,1,55.714285714285715
17,20,30,30,2,62.5
17,20,30,30,3,62.5
17,30,50,50,1,51.42857142857142
17,30,50,50,2,62.857142857142854
17,30,50,50,3,62.857142857142854
17,50,100,100,1,46.07142857142857
17,50,100,100,2,62.142857142857146
17,50,100,100,3,62.142857142857146
17,100,150,150,1,57.49999999999999
17,100,150,150,2,71.78571428571429
17,100,150,150,3,71.78571428571429
17,150,200,200,1,61.42857142857143
17,150,200,200,2,75.35714285714286
17,150,200,200,3,75.35714285714286
17,200,250,250,1,67.14285714285714
17,200,250,250,2,82.5
17,200,250,250,3,82.5
17,250,300,300,1,76.07142857142857
17,250,300,300,2,85.0
17,250,300,300,3,85.0
18,10,20,20,1,36.78571428571429
18,10,20,20,2,43.214285714285715
18,10,20,20,3,43.214285714285715
18,20,30,30,1,51.07142857142857
18,20,30,30,2,58.92857142857143
18,20,30,30,3,58.92857142857143
18,30,50,50,1,55.35714285714286
18,30,50,50,2,68.21428571428572
18,30,50,50,3,68.21428571428572
18,50,100,100,1,47.5
18,50,100,100,2,62.142857142857146
18,50,100,100,3,62.142857142857146
18,100,150,150,1,61.42857142857143
18,100,150,150,2,72.14285714285714
18,100,150,150,3,72.14285714285714
18,150,200,200,1,68.57142857142857
18,150,200,200,2,78.92857142857143
18,150,200,200,3,78.92857142857143
18,200,250,250,1,67.14285714285714
18,200,250,250,2,77.85714285714286
18,200,250,250,3,77.85714285714286
18,250,300,300,1,73.21428571428571
18,250,300,300,2,83.57142857142857
18,250,300,300,3,83.57142857142857
19,10,20,20,1,39.285714285714285
19,10,20,20,2,48.57142857142857
19,10,20,20,3,48.57142857142857
19,20,30,30,1,57.85714285714286
19,20,30,30,2,66.78571428571428
19,20,30,30,3,66.78571428571428
19,30,50,50,1,46.07142857142857
19,30,50,50,2,59.64285714285714
19,30,50,50,3,59.64285714285714
19,50,100,100,1,53.57142857142857
19,50,100,100,2,67.5
19,50,100,100,3,67.5
19,100,150,150,1,56.07142857142857
19,100,150,150,2,71.78571428571429
19,100,150,150,3,71.78571428571429
19,150,200,200,1,71.07142857142857
19,150,200,200,2,84.28571428571429
19,150,200,200,3,84.28571428571429
19,200,250,250,1,72.85714285714285
19,200,250,250,2,86.07142857142858
19,200,250,250,3,86.07142857142858
19,250,300,300,1,77.5
19,250,300,300,2,85.35714285714285
19,250,300,300,3,85.35714285714285
20,10,20,20,1,35.0
20,10,20,20,2,44.285714285714285
20,10,20,20,3,44.285714285714285
20,20,30,30,1,49.28571428571429
20,20,30,30,2,59.64285714285714
20,20,30,30,3,59.64285714285714
20,30,50,50,1,49.28571428571429
20,30,50,50,2,62.5
20,30,50,50,3,62.5
20,50,100,100,1,47.5
20,50,100,100,2,63.57142857142857
20,50,100,100,3,63.57142857142857
20,100,150,150,1,63.92857142857142
20,100,150,150,2,73.92857142857143
20,100,150,150,3,73.92857142857143
20,150,200,200,1,70.0
20,150,200,200,2,79.64285714285714
20,150,200,200,3,79.64285714285714
20,200,250,250,1,67.5
20,200,250,250,2,78.21428571428571
20,200,250,250,3,78.21428571428571
20,250,300,300,1,75.71428571428571
20,250,300,300,2,83.92857142857143
20,250,300,300,3,83.92857142857143
21,10,20,20,1,36.42857142857142
21,10,20,20,2,46.42857142857143
21,10,20,20,3,46.42857142857143
21,20,30,30,1,52.85714285714286
21,20,30,30,2,60.71428571428571
21,20,30,30,3,60.71428571428571
21,30,50,50,1,51.42857142857142
21,30,50,50,2,62.142857142857146
21,30,50,50,3,62.142857142857146
21,50,100,100,1,46.785714285714285
21,50,100,100,2,58.57142857142858
