seed,N_from,N_to,N,tolerance,match_rate
33,10,20,20,3,43.92857142857143
33,20,30,30,1,51.07142857142857
33,20,30,30,2,59.285714285714285
33,20,30,30,3,59.285714285714285
33,30,50,50,1,43.214285714285715
33,30,50,50,2,55.00000000000001
33,30,50,50,3,55.00000000000001
33,50,100,100,1,48.92857142857142
33,50,100,100,2,62.857142857142854
33,50,100,100,3,62.857142857142854
33,100,150,150,1,59.285714285714285
33,100,150,150,2,69.64285714285714
33,100,150,150,3,69.64285714285714
33,150,200,200,1,67.85714285714286
33,150,200,200,2,78.21428571428571
33,150,200,200,3,78.21428571428571
33,200,250,250,1,71.07142857142857
33,200,250,250,2,82.14285714285714
33,200,250,250,3,82.14285714285714
33,250,300,300,1,75.35714285714286
33,250,300,300,2,85.0
33,250,300,300,3,85.0
34,10,20,20,1,35.714285714285715
34,10,20,20,2,43.214285714285715
34,10,20,20,3,43.214285714285715
34,20,30,30,1,49.28571428571429
34,20,30,30,2,58.92857142857143
34,20,30,30,3,58.92857142857143
34,30,50,50,1,49.642857142857146
34,30,50,50,2,62.142857142857146
34,30,50,50,3,62.142857142857146
34,50,100,100,1,45.0
34,50,100,100,2,63.21428571428571
34,50,100,100,3,63.21428571428571
34,100,150,150,1,60.71428571428571
34,100,150,150,2,70.71428571428572
34,100,150,150,3,70.71428571428572
34,150,200,200,1,65.0
34,150,200,200,2,77.14285714285715
34,150,200,200,3,77.14285714285715
34,200,250,250,1,72.85714285714285
34,200,250,250,2,84.64285714285714
34,200,250,250,3,84.64285714285714
34,250,300,300,1,75.71428571428571
34,250,300,300,2,86.42857142857143
34,250,300,300,3,86.42857142857143
35,10,20,20,1,36.07142857142857
35,10,20,20,2,46.42857142857143
35,10,20,20,3,46.42857142857143
35,20,30,30,1,52.85714285714286
35,20,30,30,2,62.5
35,20,30,30,3,62.5
35,30,50,50,1,45.714285714285715
35,30,50,50,2,55.35714285714286
35,30,50,50,3,55.35714285714286
35,50,100,100,1,48.214285714285715
35,50,100,100,2,59.285714285714285
35,50,100,100,3,59.285714285714285
35,100,150,150,1,63.57142857142857
35,100,150,150,2,76.07142857142857
35,100,150,150,3,76.07142857142857
35,150,200,200,1,66.42857142857143
35,150,200,200,2,78.57142857142857
35,150,200,200,3,78.57142857142857
35,200,250,250,1,71.07142857142857
35,200,250,250,2,81.78571428571428
35,200,250,250,3,81.78571428571428
35,250,300,300,1,73.57142857142858
35,250,300,300,2,85.0
35,250,300,300,3,85.0
36,10,20,20,1,34.64285714285714
36,10,20,20,2,43.57142857142857
36,10,20,20,3,43.57142857142857
36,20,30,30,1,50.357142857142854
36,20,30,30,2,60.0
36,20,30,30,3,60.0
36,30,50,50,1,55.00000000000001
36,30,50,50,2,66.78571428571428
36,30,50,50,3,66.78571428571428
36,50,100,100,1,45.714285714285715
36,50,100,100,2,61.78571428571429
36,50,100,100,3,61.78571428571429
36,100,150,150,1,66.07142857142857
36,100,150,150,2,76.42857142857142
36,100,150,150,3,76.42857142857142
36,150,200,200,1,73.21428571428571
36,150,200,200,2,85.0
36,150,200,200,3,85.0
36,200,250,250,1,73.57142857142858
36,200,250,250,2,86.78571428571429
36,200,250,250,3,86.78571428571429
36,250,300,300,1,75.71428571428571
36,250,300,300,2,85.71428571428571
36,250,300,300,3,85.71428571428571
37,10,20,20,1,40.0
37,10,20,20,2,51.78571428571429
37,10,20,20,3,51.78571428571429
37,20,30,30,1,52.5
37,20,30,30,2,60.71428571428571
37,20,30,30,3,60.71428571428571
37,30,50,50,1,52.85714285714286
37,30,50,50,2,66.42857142857143
37,30,50,50,3,66.42857142857143
37,50,100,100,1,43.92857142857143
37,50,100,100,2,60.357142857142854
37,50,100,100,3,60.357142857142854
37,100,150,150,1,64.64285714285715
37,100,150,150,2,75.71428571428571
37,100,150,150,3,75.71428571428571
37,150,200,200,1,67.85714285714286
37,150,200,200,2,81.07142857142857
37,150,200,200,3,81.07142857142857
37,200,250,250,1,71.07142857142857
37,200,250,250,2,82.5
37,200,250,250,3,82.5
37,250,300,300,1,73.92857142857143
37,250,300,300,2,87.14285714285714
37,250,300,300,3,87.14285714285714
38,10,20,20,1,38.21428571428571
38,10,20,20,2,46.785714285714285
38,10,20,20,3,46.785714285714285
38,20,30,30,1,51.78571428571429
38,20,30,30,2,62.142857142857146
38,20,30,30,3,62.142857142857146
38,30,50,50,1,51.78571428571429
38,30,50,50,2,63.21428571428571
38,30,50,50,3,63.21428571428571
38,50,100,100,1,46.785714285714285
38,50,100,100,2,62.142857142857146
38,50,100,100,3,62.142857142857146
38,100,150,150,1,58.92857142857143
38,100,150,150,2,74.64285714285714
38,100,150,150,3,74.64285714285714
38,150,200,200,1,67.14285714285714
38,150,200,200,2,77.5
38,150,200,200,3,77.5
38,200,250,250,1,70.35714285714286
38,200,250,250,2,82.85714285714286
38,200,250,250,3,82.85714285714286
38,250,300,300,1,75.0
38,250,300,300,2,83.21428571428572
38,250,300,300,3,83.21428571428572
39,10,20,20,1,36.78571428571429
39,10,20,20,2,46.42857142857143
39,10,20,20,3,46.42857142857143
39,20,30,30,1,47.14285714285714
39,20,30,30,2,61.78571428571429
39,20,30,30,3,61.78571428571429
39,30,50,50,1,49.28571428571429
39,30,50,50,2,60.357142857142854
39,30,50,50,3,60.357142857142854
39,50,100,100,1,42.857142857142854
39,50,100,100,2,60.357142857142854
39,50,100,100,3,60.357142857142854
39,100,150,150,1,58.214285714285715
39,100,150,150,2,71.78571428571429
39,100,150,150,3,71.78571428571429
39,150,200,200,1,72.14285714285714
39,150,200,200,2,80.71428571428572
39,150,200,200,3,80.71428571428572
39,200,250,250,1,70.71428571428572
39,200,250,250,2,82.5
39,200,250,250,3,82.5
39,250,300,300,1,78.21428571428571
39,250,300,300,2,87.5
39,250,300,300,3,87.5
40,10,20,20,1,39.64285714285714
40,10,20,20,2,50.0
40,10,20,20,3,50.0
40,20,30,30,1,51.78571428571429
40,20,30,30,2,61.78571428571429
40,20,30,30,3,61.78571428571429
40,30,50,50,1,50.357142857142854
40,30,50,50,2,63.21428571428571
40,30,50,50,3,63.21428571428571
40,50,100,100,1,50.0
40,50,100,100,2,65.0
40,50,100,100,3,65.0
40,100,150,150,1,58.92857142857143
40,100,150,150,2,76.78571428571429
40,100,150,150,3,76.78571428571429
40,150,200,200,1,61.42857142857143
40,150,200,200,2,77.14285714285715
40,150,200,200,3,77.14285714285715
40,200,250,250,1,69.28571428571428
40,200,250,250,2,81.07142857142857
40,200,250,250,3,81.07142857142857
40,250,300,300,1,73.57142857142858
40,250,300,300,2,85.0
40,250,300,300,3,85.0
41,10,20,20,1,36.42857142857142
41,10,20,20,2,47.14285714285714
41,10,20,20,3,47.14285714285714
41,20,30,30,1,53.214285714285715
41,20,30,30,2,61.42857142857143
41,20,30,30,3,61.42857142857143
41,30,50,50,1,51.07142857142857
41,30,50,50,2,60.71428571428571
41,30,50,50,3,60.71428571428571
41,50,100,100,1,45.714285714285715
41,50,100,100,2,61.07142857142858
41,50,100,100,3,61.07142857142858
41,100,150,150,1,60.71428571428571
41,100,150,150,2,72.5
41,100,150,150,3,72.5
41,150,200,200,1,66.42857142857143
41,150,200,200,2,81.42857142857143
41,150,200,200,3,81.42857142857143
41,200,250,250,1,73.57142857142858
41,200,250,250,2,83.21428571428572
41,200,250,250,3,83.21428571428572
41,250,300,300,1,77.14285714285715
41,250,300,300,2,86.42857142857143
41,250,300,300,3,86.42857142857143
42,10,20,20,1,36.78571428571429
42,10,20,20,2,47.5
42,10,20,20,3,47.5
42,20,30,30,1,46.07142857142857
42,20,30,30,2,58.57142857142858
42,20,30,30,3,58.57142857142858
42,30,50,50,1,45.0
42,30,50,50,2,58.214285714285715
42,30,50,50,3,58.214285714285715
42,50,100,100,1,48.214285714285715
42,50,100,100,2,65.35714285714286
42,50,100,100,3,65.35714285714286
42,100,150,150,1,54.64285714285714
42,100,150,150,2,67.85714285714286
42,100,150,150,3,67.85714285714286
42,150,200,200,1,62.857142857142854
42,150,200,200,2,75.71428571428571
42,150,200,200,3,75.71428571428571
42,200,250,250,1,70.35714285714286
42,200,250,250,2,81.07142857142857
42,200,250,250,3,81.07142857142857
42,250,300,300,1,76.78571428571429
42,250,300,300,2,85.71428571428571
42,250,300,300,3,85.71428571428571
43,10,20,20,1,39.285714285714285
43,10,20,20,2,47.5
43,10,20,20,3,47.5
43,20,30,30,1,45.357142857142854
43,20,30,30,2,55.714285714285715
43,20,30,30,3,55.714285714285715
43,30,50,50,1,45.0
43,30,50,50,2,59.285714285714285
43,30,50,50,3,59.285714285714285
43,50,100,100,1,46.42857142857143
43,50,100,100,2,61.07142857142858
43,50,100,100,3,61.07142857142858
43,100,150,150,1,57.49999999999999
43,100,150,150,2,71.78571428571429
43,100,150,150,3,71.78571428571429
43,150,200,200,1,63.21428571428571
43,150,200,200,2,72.14285714285714
43,150,200,200,3,72.14285714285714
43,200,250,250,1,70.71428571428572
43,200,250,250,2,82.14285714285714
43,200,250,250,3,82.14285714285714
43,250,300,300,1,74.28571428571429
43,250,300,300,2,86.07142857142858
43,250,300,300,3,86.07142857142858
44,10,20,20,1,36.78571428571429
44,10,20,20,2,45.714285714285715
44,10,20,20,3,45.714285714285715
44,20,30,30,1,53.214285714285715
44,20,30,30,2,61.78571428571429
44,20,30,30,3,61.78571428571429
44,30,50,50,1,51.07142857142857
44,30,50,50,2,63.21428571428571
44,30,50,50,3,63.21428571428571
44,50,100,100,1,48.214285714285715
44,50,100,100,2,63.92857142857142
44,50,100,100,3,63.92857142857142
44,100,150,150,1,58.214285714285715
44,100,150,150,2,72.14285714285714
44,100,150,150,3,72.14285714285714
44,150,200,200,1,64.28571428571429
44,150,200,200,2,81.07142857142857
44,150,200,200,3,81.07142857142857
44,200,250,250,1,70.0
44,200,250,250,2,83.21428571428572
44,200,250,250,3,83.21428571428572
44,250,300,300,1,73.57142857142858
44,250,300,300,2,83.92857142857143
44,250,300,300,3,83.92857142857143
45,10,20,20,1,36.42857142857142
45,10,20,20,2,43.57142857142857
45,10,20,20,3,43.57142857142857
45,20,30,30,1,46.785714285714285
45,20,30,30,2,56.42857142857143
45,20,30,30,3,56.42857142857143
45,30,50,50,1,46.07142857142857
45,30,50,50,2,61.42857142857143
45,30,50,50,3,61.42857142857143
45,50,100,100,1,47.5
45,50,100,100,2,62.857142857142854
45,50,100,100,3,62.857142857142854
45,100,150,150,1,57.14285714285714
45,100,150,150,2,68.57142857142857
45,100,150,150,3,68.57142857142857
45,150,200,200,1,63.21428571428571
45,150,200,200,2,75.0
45,150,200,200,3,75.0
45,200,250,250,1,73.92857142857143
45,200,250,250,2,84.64285714285714
45,200,250,250,3,84.64285714285714
45,250,300,300,1,71.78571428571429
45,250,300,300,2,83.21428571428572
45,250,300,300,3,83.21428571428572
46,10,20,20,1,42.857142857142854
46,10,20,20,2,50.357142857142854
46,10,20,20,3,50.357142857142854
46,20,30,30,1,50.71428571428571
46,20,30,30,2,60.357142857142854
46,20,30,30,3,60.357142857142854
46,30,50,50,1,52.85714285714286
46,30,50,50,2,65.71428571428571
46,30,50,50,3,65.71428571428571
46,50,100,100,1,45.357142857142854
46,50,100,100,2,62.5
46,50,100,100,3,62.5
46,100,150,150,1,62.5
46,100,150,150,2,75.71428571428571
46,100,150,150,3,75.71428571428571
46,150,200,200,1,66.42857142857143
46,150,200,200,2,77.85714285714286
46,150,200,200,3,77.85714285714286
46,200,250,250,1,71.07142857142857
46,200,250,250,2,84.64285714285714
46,200,250,250,3,84.64285714285714
46,250,300,300,1,70.71428571428572
46,250,300,300,2,83.21428571428572
46,250,300,300,3,83.21428571428572
47,10,20,20,1,35.714285714285715
47,10,20,20,2,46.42857142857143
47,10,20,20,3,46.42857142857143
47,20,30,30,1,48.57142857142857
47,20,30,30,2,58.57142857142858
47,20,30,30,3,58.57142857142858
47,30,50,50,1,49.28571428571429
47,30,50,50,2,61.07142857142858
47,30,50,50,3,61.07142857142858
47,50,100,100,1,46.785714285714285
47,50,100,100,2,62.142857142857146
47,50,100,100,3,62.142857142857146
47,100,150,150,1,58.214285714285715
47,100,150,150,2,72.5
47,100,150,150,3,72.5
47,150,200,200,1,64.64285714285715
47,150,200,200,2,77.14285714285715
47,150,200,200,3,77.14285714285715
47,200,250,250,1,72.85714285714285
47,200,250,250,2,82.85714285714286
47,200,250,250,3,82.85714285714286
47,250,300,300,1,71.42857142857143
47,250,300,300,2,85.71428571428571
47,250,300,300,3,85.71428571428571
48,10,20,20,1,31.428571428571427
48,10,20,20,2,43.214285714285715
48,10,20,20,3,43.214285714285715
48,20,30,30,1,49.642857142857146
48,20,30,30,2,60.0
48,20,30,30,3,60.0
48,30,50,50,1,47.14285714285714
48,30,50,50,2,58.57142857142858
48,30,50,50,3,58.57142857142858
48,50,100,100,1,49.642857142857146
48,50,100,100,2,66.07142857142857
48,50,100,100,3,66.07142857142857
48,100,150,150,1,63.57142857142857
48,100,150,150,2,77.85714285714286
48,100,150,150,3,77.85714285714286
48,150,200,200,1,68.21428571428572
48,150,200,200,2,82.14285714285714
48,150,200,200,3,82.14285714285714
48,200,250,250,1,69.64285714285714
48,200,250,250,2,81.07142857142857
48,200,250,250,3,81.07142857142857
48,250,300,300,1,74.28571428571429
48,250,300,300,2,86.07142857142858
48,250,300,300,3,86.07142857142858
49,10,20,20,1,35.0
49,10,20,20,2,45.0
49,10,20,20,3,45.0
49,20,30,30,1,56.42857142857143
49,20,30,30,2,63.57142857142857
49,20,30,30,3,63.57142857142857
49,30,50,50,1,50.0
49,30,50,50,2,61.07142857142858
49,30,50,50,3,61.07142857142858
49,50,100,100,1,42.142857142857146
49,50,100,100,2,61.42857142857143
49,50,100,100,3,61.42857142857143
49,100,150,150,1,60.357142857142854
49,100,150,150,2,75.35714285714286
49,100,150,150,3,75.35714285714286
49,150,200,200,1,60.0
49,150,200,200,2,74.28571428571429
49,150,200,200,3,74.28571428571429
49,200,250,250,1,70.71428571428572
49,200,250,250,2,84.28571428571429
49,200,250,250,3,84.28571428571429
49,250,300,300,1,72.85714285714285
49,250,300,300,2,82.14285714285714
49,250,300,300,3,82.14285714285714
50,10,20,20,1,33.214285714285715
50,10,20,20,2,43.57142857142857
50,10,20,20,3,43.57142857142857
50,20,30,30,1,50.357142857142854
50,20,30,30,2,61.07142857142858
50,20,30,30,3,61.07142857142858
50,30,50,50,1,52.142857142857146
50,30,50,50,2,64.28571428571429
50,30,50,50,3,64.28571428571429
50,50,100,100,1,52.85714285714286
50,50,100,100,2,70.35714285714286
50,50,100,100,3,70.35714285714286
50,100,150,150,1,57.85714285714286
50,100,150,150,2,73.92857142857143
50,100,150,150,3,73.92857142857143
50,150,200,200,1,63.57142857142857
50,150,200,200,2,76.42857142857142
50,150,200,200,3,76.42857142857142
50,200,250,250,1,72.5
50,200,250,250,2,82.14285714285714
50,200,250,250,3,82.14285714285714
50,250,300,300,1,78.21428571428571
50,250,300,300,2,85.71428571428571
50,250,300,300,3,85.71428571428571
51,10,20,20,1,31.785714285714285
51,10,20,20,2,43.92857142857143
51,10,20,20,3,43.92857142857143
51,20,30,30,1,46.42857142857143
51,20,30,30,2,56.785714285714285
51,20,30,30,3,56.785714285714285
51,30,50,50,1,48.92857142857142
51,30,50,50,2,61.42857142857143
51,30,50,50,3,61.42857142857143
51,50,100,100,1,48.57142857142857
51,50,100,100,2,60.0
51,50,100,100,3,60.0
51,100,150,150,1,59.64285714285714
51,100,150,150,2,70.35714285714286
51,100,150,150,3,70.35714285714286
51,150,200,200,1,64.64285714285715
51,150,200,200,2,77.5
51,150,200,200,3,77.5
51,200,250,250,1,69.64285714285714
51,200,250,250,2,79.28571428571428
51,200,250,250,3,79.28571428571428
51,250,300,300,1,72.5
51,250,300,300,2,81.42857142857143
51,250,300,300,3,81.42857142857143
52,10,20,20,1,35.0
52,10,20,20,2,43.92857142857143
52,10,20,20,3,43.92857142857143
52,20,30,30,1,53.57142857142857
52,20,30,30,2,64.64285714285715
52,20,30,30,3,64.64285714285715
52,30,50,50,1,47.14285714285714
52,30,50,50,2,57.85714285714286
52,30,50,50,3,57.85714285714286
52,50,100,100,1,48.57142857142857
52,50,100,100,2,60.357142857142854
52,50,100,100,3,60.357142857142854
52,100,150,150,1,58.214285714285715
52,100,150,150,2,73.21428571428571
52,100,150,150,3,73.21428571428571
52,150,200,200,1,69.28571428571428
52,150,200,200,2,78.57142857142857
52,150,200,200,3,78.57142857142857
52,200,250,250,1,69.64285714285714
52,200,250,250,2,82.5
52,200,250,250,3,82.5
52,250,300,300,1,78.21428571428571
52,250,300,300,2,83.92857142857143
52,250,300,300,3,83.92857142857143
53,10,20,20,1,38.21428571428571
53,10,20,20,2,47.85714285714286
53,10,20,20,3,47.85714285714286
53,20,30,30,1,52.5
53,20,30,30,2,60.0
53,20,30,30,3,60.0
53,30,50,50,1,52.142857142857146
53,30,50,50,2,66.78571428571428
53,30,50,50,3,66.78571428571428
53,50,100,100,1,48.214285714285715
53,50,100,100,2,62.142857142857146
53,50,100,100,3,62.142857142857146
53,100,150,150,1,59.64285714285714
53,100,150,150,2,71.78571428571429
53,100,150,150,3,71.78571428571429
53,150,200,200,1,68.21428571428572
53,150,200,200,2,80.71428571428572
53,150,200,200,3,80.71428571428572
53,200,250,250,1,72.5
53,200,250,250,2,84.28571428571429
53,200,250,250,3,84.28571428571429
53,250,300,300,1,75.0
53,250,300,300,2,82.5
53,250,300,300,3,82.5
54,10,20,20,1,37.857142857142854
54,10,20,20,2,47.14285714285714
54,10,20,20,3,47.14285714285714
54,20,30,30,1,51.42857142857142
54,20,30,30,2,62.857142857142854
54,20,30,30,3,62.857142857142854
54,30,50,50,1,50.0
54,30,50,50,2,59.285714285714285
54,30,50,50,3,59.285714285714285
54,50,100,100,1,46.785714285714285
54,50,100,100,2,61.07142857142858
54,50,100,100,3,61.07142857142858
54,100,150,150,1,58.92857142857143
54,100,150,150,2,71.07142857142857
54,100,150,150,3,71.07142857142857
54,150,200,200,1,63.92857142857142
54,150,200,200,2,78.21428571428571
54,150,200,200,3,78.21428571428571
54,200,250,250,1,68.92857142857143
54,200,250,250,2,83.57142857142857
54,200,250,250,3,83.57142857142857
54,250,300,300,1,75.71428571428571
54,250,300,300,2,86.07142857142858
54,250,300,300,3,86.07142857142858
55,10,20,20,1,31.428571428571427
55,10,20,20,2,41.785714285714285
55,10,20,20,3,41.785714285714285
55,20,30,30,1,52.5
55,20,30,30,2,63.21428571428571
55,20,30,30,3,63.21428571428571
55,30,50,50,1,52.142857142857146
55,30,50,50,2,64.28571428571429
55,30,50,50,3,64.28571428571429
55,50,100,100,1,44.285714285714285
55,50,100,100,2,60.0
55,50,100,100,3,60.0
55,100,150,150,1,58.92857142857143
55,100,150,150,2,70.0
55,100,150,150,3,70.0
55,150,200,200,1,60.71428571428571
55,150,200,200,2,75.0
55,150,200,200,3,75.0
55,200,250,250,1,73.57142857142858
55,200,250,250,2,83.92857142857143
55,200,250,250,3,83.92857142857143
55,250,300,300,1,75.35714285714286
55,250,300,300,2,90.35714285714286
55,250,300,300,3,90.35714285714286
56,10,20,20,1,38.21428571428571
56,10,20,20,2,48.92857142857142
56,10,20,20,3,48.92857142857142
56,20,30,30,1,55.00000000000001
56,20,30,30,2,61.78571428571429
56,20,30,30,3,61.78571428571429
56,30,50,50,1,53.214285714285715
56,30,50,50,2,63.21428571428571
56,30,50,50,3,63.21428571428571
56,50,100,100,1,47.14285714285714
56,50,100,100,2,63.57142857142857
56,50,100,100,3,63.57142857142857
56,100,150,150,1,62.857142857142854
56,100,150,150,2,77.14285714285715
56,100,150,150,3,77.14285714285715
56,150,200,200,1,70.0
56,150,200,200,2,81.78571428571428
56,150,200,200,3,81.78571428571428
56,200,250,250,1,65.71428571428571
56,200,250,250,2,79.64285714285714
56,200,250,250,3,79.64285714285714
56,250,300,300,1,71.42857142857143
56,250,300,300,2,83.92857142857143
56,250,300,300,3,83.92857142857143
57,10,20,20,1,34.64285714285714
57,10,20,20,2,45.714285714285715
57,10,20,20,3,45.714285714285715
57,20,30,30,1,46.785714285714285
57,20,30,30,2,58.57142857142858
57,20,30,30,3,58.57142857142858
57,30,50,50,1,50.357142857142854
57,30,50,50,2,65.71428571428571
57,30,50,50,3,65.71428571428571
57,50,100,100,1,42.142857142857146
57,50,100,100,2,57.85714285714286
57,50,100,100,3,57.85714285714286
57,100,150,150,1,55.00000000000001
57,100,150,150,2,72.5
57,100,150,150,3,72.5
57,150,200,200,1,68.21428571428572
57,150,200,200,2,79.64285714285714
57,150,200,200,3,79.64285714285714
57,200,250,250,1,72.85714285714285
57,200,250,250,2,81.42857142857143
57,200,250,250,3,81.42857142857143
57,250,300,300,1,73.57142857142858
57,250,300,300,2,87.14285714285714
57,250,300,300,3,87.14285714285714
58,10,20,20,1,33.92857142857143
58,10,20,20,2,43.214285714285715
58,10,20,20,3,43.214285714285715
58,20,30,30,1,50.357142857142854
58,20,30,30,2,58.214285714285715
58,20,30,30,3,58.214285714285715
58,30,50,50,1,52.142857142857146
58,30,50,50,2,64.64285714285715
58,30,50,50,3,64.64285714285715
58,50,100,100,1,45.0
58,50,100,100,2,59.64285714285714
58,50,100,100,3,59.64285714285714
58,100,150,150,1,63.57142857142857
58,100,150,150,2,73.57142857142858
58,100,150,150,3,73.57142857142858
58,150,200,200,1,71.42857142857143
58,150,200,200,2,83.92857142857143
58,150,200,200,3,83.92857142857143
58,200,250,250,1,71.42857142857143
58,200,250,250,2,83.92857142857143
58,200,250,250,3,83.92857142857143
58,250,300,300,1,73.92857142857143
58,250,300,300,2,85.0
58,250,300,300,3,85.0
59,10,20,20,1,35.0
59,10,20,20,2,47.14285714285714
59,10,20,20,3,47.14285714285714
59,20,30,30,1,52.85714285714286
59,20,30,30,2,62.5
59,20,30,30,3,62.5
59,30,50,50,1,51.07142857142857
59,30,50,50,2,63.21428571428571
59,30,50,50,3,63.21428571428571
59,50,100,100,1,48.92857142857142
59,50,100,100,2,62.857142857142854
59,50,100,100,3,62.857142857142854
59,100,150,150,1,63.21428571428571
59,100,150,150,2,75.35714285714286
59,100,150,150,3,75.35714285714286
59,150,200,200,1,65.0
59,150,200,200,2,77.14285714285715
59,150,200,200,3,77.14285714285715
59,200,250,250,1,70.71428571428572
59,200,250,250,2,82.5
59,200,250,250,3,82.5
59,250,300,300,1,75.35714285714286
59,250,300,300,2,83.57142857142857
59,250,300,300,3,83.57142857142857
60,10,20,20,1,34.285714285714285
60,10,20,20,2,45.714285714285715
60,10,20,20,3,45.714285714285715
60,20,30,30,1,52.142857142857146
60,20,30,30,2,62.857142857142854
60,20,30,30,3,62.857142857142854
60,30,50,50,1,46.785714285714285
60,30,50,50,2,60.0
60,30,50,50,3,60.0
60,50,100,100,1,45.714285714285715
60,50,100,100,2,60.357142857142854
60,50,100,100,3,60.357142857142854
60,100,150,150,1,56.785714285714285
60,100,150,150,2,68.92857142857143
60,100,150,150,3,68.92857142857143
60,150,200,200,1,69.64285714285714
60,150,200,200,2,79.64285714285714
60,150,200,200,3,79.64285714285714
60,200,250,250,1,73.21428571428571
60,200,250,250,2,83.21428571428572
60,200,250,250,3,83.21428571428572
60,250,300,300,1,75.0
60,250,300,300,2,85.71428571428571
60,250,300,300,3,85.71428571428571
61,10,20,20,1,38.57142857142858
61,10,20,20,2,48.92857142857142
61,10,20,20,3,48.92857142857142
61,20,30,30,1,52.142857142857146
61,20,30,30,2,57.49999999999999
61,20,30,30,3,57.49999999999999
61,30,50,50,1,47.5
61,30,50,50,2,61.42857142857143
61,30,50,50,3,61.42857142857143
61,50,100,100,1,47.14285714285714
61,50,100,100,2,56.07142857142857
61,50,100,100,3,56.07142857142857
61,100,150,150,1,61.78571428571429
61,100,150,150,2,72.5
61,100,150,150,3,72.5
61,150,200,200,1,68.92857142857143
61,150,200,200,2,81.07142857142857
61,150,200,200,3,81.07142857142857
61,200,250,250,1,68.57142857142857
61,200,250,250,2,80.0
61,200,250,250,3,80.0
61,250,300,300,1,71.78571428571429
61,250,300,300,2,82.5
61,250,300,300,3,82.5
62,10,20,20,1,36.07142857142857
62,10,20,20,2,47.14285714285714
62,10,20,20,3,47.14285714285714
62,20,30,30,1,57.49999999999999
62,20,30,30,2,65.71428571428571
62,20,30,30,3,65.71428571428571
62,30,50,50,1,53.92857142857142
62,30,50,50,2,65.35714285714286
62,30,50,50,3,65.35714285714286
62,50,100,100,1,49.642857142857146
62,50,100,100,2,63.92857142857142
62,50,100,100,3,63.92857142857142
62,100,150,150,1,62.5
62,100,150,150,2,76.42857142857142
62,100,150,150,3,76.42857142857142
62,150,200,200,1,66.42857142857143
62,150,200,200,2,79.64285714285714
62,150,200,200,3,79.64285714285714
62,200,250,250,1,73.57142857142858
62,200,250,250,2,82.5
62,200,250,250,3,82.5
62,250,300,300,1,74.28571428571429
62,250,300,300,2,84.64285714285714
62,250,300,300,3,84.64285714285714
63,10,20,20,1,35.0
63,10,20,20,2,43.57142857142857
63,10,20,20,3,43.57142857142857
63,20,30,30,1,45.0
63,20,30,30,2,53.92857142857142
63,20,30,30,3,53.92857142857142
63,30,50,50,1,50.0
63,30,50,50,2,60.71428571428571
63,30,50,50,3,60.71428571428571
63,50,100,100,1,43.57142857142857
63,50,100,100,2,59.285714285714285
63,50,100,100,3,59.285714285714285
63,100,150,150,1,57.14285714285714
63,100,150,150,2,71.07142857142857
63,100,150,150,3,71.07142857142857
63,150,200,200,1,67.5
63,150,200,200,2,78.92857142857143
63,150,200,200,3,78.92857142857143
63,200,250,250,1,71.42857142857143
63,200,250,250,2,81.42857142857143
63,200,250,250,3,81.42857142857143
63,250,300,300,1,78.92857142857143
63,250,300,300,2,86.78571428571429
63,250,300,300,3,86.78571428571429
64,10,20,20,1,35.0
64,10,20,20,2,41.42857142857143
64,10,20,20,3,41.42857142857143
64,20,30,30,1,50.71428571428571
64,20,30,30,2,58.92857142857143
64,20,30,30,3,58.92857142857143
64,30,50,50,1,48.214285714285715
64,30,50,50,2,61.07142857142858
64,30,50,50,3,61.07142857142858
64,50,100,100,1,49.28571428571429
64,50,100,100,2,63.92857142857142
64,50,100,100,3,63.92857142857142
64,100,150,150,1,61.78571428571429
64,100,150,150,2,73.21428571428571
64,100,150,150,3,73.21428571428571
64,150,200,200,1,65.0
64,150,200,200,2,79.28571428571428
64,150,200,200,3,79.28571428571428
64,200,250,250,1,70.0
64,200,250,250,2,81.42857142857143
64,200,250,250,3,81.42857142857143
64,250,300,300,1,74.28571428571429
64,250,300,300,2,83.57142857142857
64,250,300,300,3,83.57142857142857
65,10,20,20,1,40.714285714285715
65,10,20,20,2,52.142857142857146
65,10,20,20,3,52.142857142857146
65,20,30,30,1,51.07142857142857
65,20,30,30,2,60.0
65,20,30,30,3,60.0
65,30,50,50,1,50.357142857142854
65,30,50,50,2,63.21428571428571
65,30,50,50,3,63.21428571428571
65,50,100,100,1,42.857142857142854
65,50,100,100,2,58.57142857142858
65,50,100,100,3,58.57142857142858
65,100,150,150,1,60.357142857142854
65,100,150,150,2,74.64285714285714
65,100,150,150,3,74.64285714285714
65,150,200,200,1,60.71428571428571
65,150,200,200,2,73.57142857142858
65,150,200,200,3,73.57142857142858
65,200,250,250,1,68.21428571428572
65,200,250,250,2,81.78571428571428
65,200,250,250,3,81.78571428571428
65,250,300,300,1,74.64285714285714
65,250,300,300,2,87.5
65,250,300,300,3,87.5
66,10,20,20,1,36.78571428571429
66,10,20,20,2,45.357142857142854
66,10,20,20,3,45.357142857142854
66,20,30,30,1,54.64285714285714
66,20,30,30,2,64.28571428571429
66,20,30,30,3,64.28571428571429
66,30,50,50,1,46.785714285714285
66,30,50,50,2,59.285714285714285
66,30,50,50,3,59.285714285714285
66,50,100,100,1,44.285714285714285
66,50,100,100,2,59.64285714285714
