x,y,N,club_1,aim_1,esho_1,se_1,freq_1,club_2,aim_2,esho_2,freq_2,delta_esho,functionally_equivalent
48.888888888888886,128.01247435116397,250,Driver,-20,4.020580141632645,0.03839660501029495,54,Driver,-18,4.03543606258574,21,0.014855920953094959,True
48.888888888888886,128.01247435116397,300,Driver,-20,4.023507485955449,0.03523755405864913,59,Driver,-18,4.035394683480263,16,0.011887197524814042,True
48.888888888888886,136.68052705684886,10,Driver,-16,3.660052008099026,0.17884601382256735,18,Driver,-20,3.6485626101493835,16,0.011489397949642655,True
48.888888888888886,136.68052705684886,20,Driver,-16,3.77221319410536,0.14381545538662963,18,Driver,-18,3.7274756961398654,18,0.044737497965494644,True
48.888888888888886,136.68052705684886,30,Driver,-18,3.777622553018423,0.10240128125213414,26,Driver,-16,3.7851974342180337,23,0.007574881199610584,True
48.888888888888886,136.68052705684886,50,Driver,-20,3.7950819639059215,0.07740015686591162,26,Driver,-18,3.8123700727115977,22,0.017288108805676217,True
48.888888888888886,136.68052705684886,100,Driver,-20,3.83408984541893,0.058860991284128465,40,Driver,-18,3.853108606338501,25,0.019018760919570887,True
48.888888888888886,136.68052705684886,150,Driver,-20,3.843770308928056,0.04835661817470688,44,Driver,-18,3.8550628480457125,21,0.011292539117656375,True
48.888888888888886,136.68052705684886,200,Driver,-20,3.8441218684117,0.04246461868559851,48,Driver,-18,3.860879269513217,22,0.016757401101517022,True
48.888888888888886,136.68052705684886,250,Driver,-20,3.855336310816746,0.03806641376587278,51,Driver,-18,3.8643431282043457,25,0.009006817387599675,True
48.888888888888886,136.68052705684886,300,Driver,-20,3.858891122481402,0.03503571371281948,51,Driver,-18,3.870483963577836,27,0.01159284109643366,True
48.888888888888886,145.34857976253377,10,3-wood,-20,3.7479836463928224,0.11954374642799509,15,3-wood,-16,3.7641706466674805,11,0.016187000274658025,True
48.888888888888886,145.34857976253377,20,3-wood,-20,3.886190414428711,0.11118813604212606,25,3-wood,-18,3.864016056060791,12,0.022174358367919922,True
48.888888888888886,145.34857976253377,30,3-wood,-20,3.936794431121261,0.09442810518366822,27,3-wood,-18,3.9143115162849424,20,0.02248291483631837,True
48.888888888888886,145.34857976253377,50,3-wood,-20,3.9651467864577836,0.07706226423644777,37,3-wood,-18,3.9606946381655606,22,0.004452148292223068,True
