x,y,N,club_agreement,aim_agreement,joint_agreement,n_seeds
-28.88888888888889,84.67221082273954,20,0.79,0.33,0.27,100
-28.88888888888889,93.34026352842444,20,0.53,0.31,0.17,100
-28.88888888888889,102.00831623410932,20,0.84,0.1,0.1,100
-28.88888888888889,110.67636893979422,20,0.92,0.21,0.21,100
-28.88888888888889,119.3444216454791,20,0.92,0.19,0.18,100
-28.88888888888889,128.01247435116397,20,0.96,0.26,0.26,100
-28.88888888888889,136.68052705684886,20,1.0,0.23,0.23,100
-28.88888888888889,145.34857976253377,20,0.92,0.28,0.27,100
-28.88888888888889,154.01663246821866,20,1.0,0.23,0.23,100
-28.88888888888889,162.68468517390357,20,0.88,0.17,0.13,100
-28.88888888888889,171.35273787958843,20,0.92,0.37,0.36,100
-28.88888888888889,180.02079058527332,20,0.87,0.18,0.18,100
-28.88888888888889,188.6888432909582,20,1.0,0.17,0.17,100
-28.88888888888889,197.3568959966431,20,0.81,0.22,0.17,100
-28.88888888888889,206.024948702328,20,0.56,0.26,0.19,100
-28.88888888888889,214.6930014080129,20,0.92,0.22,0.21,100
-28.88888888888889,223.36105411369775,20,0.93,0.24,0.23,100
-28.88888888888889,232.02910681938263,20,0.95,0.23,0.21,100
-28.88888888888889,240.69715952506752,20,0.65,0.21,0.16,100
-28.88888888888889,249.3652122307524,20,0.62,0.25,0.2,100
-28.88888888888889,258.0332649364373,20,0.71,0.24,0.22,100
-28.88888888888889,266.7013176421222,20,0.73,0.35,0.26,100
-28.88888888888889,275.3693703478071,20,0.9,0.29,0.29,100
-28.88888888888889,284.037423053492,20,0.98,0.34,0.32,100
-17.77777777777778,50.0,20,0.99,0.21,0.2,100
-17.77777777777778,58.668052705684886,20,0.56,0.26,0.13,100
-17.77777777777778,67.33610541136977,20,0.9,0.23,0.2,100
-17.77777777777778,76.00415811705466,20,0.8,0.23,0.19,100
-17.77777777777778,84.67221082273954,20,0.82,0.31,0.26,100
-17.77777777777778,93.34026352842444,20,0.66,0.34,0.23,100
-17.77777777777778,102.00831623410932,20,0.82,0.11,0.11,100
-17.77777777777778,110.67636893979422,20,0.88,0.21,0.2,100
-17.77777777777778,119.3444216454791,20,0.83,0.22,0.2,100
-17.77777777777778,128.01247435116397,20,0.99,0.19,0.19,100
-17.77777777777778,136.68052705684886,20,1.0,0.19,0.19,100
-17.77777777777778,145.34857976253377,20,0.97,0.22,0.22,100
-17.77777777777778,154.01663246821866,20,0.97,0.23,0.23,100
-17.77777777777778,162.68468517390357,20,0.88,0.14,0.12,100
-17.77777777777778,171.35273787958843,20,0.87,0.24,0.24,100
-17.77777777777778,180.02079058527332,20,0.91,0.19,0.18,100
-17.77777777777778,188.6888432909582,20,0.98,0.2,0.2,100
-17.77777777777778,197.3568959966431,20,0.76,0.23,0.17,100
-17.77777777777778,206.024948702328,20,1.0,0.22,0.22,100
-17.77777777777778,214.6930014080129,20,0.6,0.27,0.14,100
-17.77777777777778,223.36105411369775,20,0.5,0.22,0.14,100
-17.77777777777778,232.02910681938263,20,0.77,0.2,0.18,100
-17.77777777777778,240.69715952506752,20,0.83,0.2,0.16,100
-17.77777777777778,249.3652122307524,20,0.99,0.24,0.24,100
-17.77777777777778,258.0332649364373,20,0.95,0.3,0.28,100
-17.77777777777778,266.7013176421222,20,1.0,0.39,0.39,100
-17.77777777777778,275.3693703478071,20,1.0,0.41,0.41,100
-17.77777777777778,284.037423053492,20,0.97,0.45,0.44,100
-6.666666666666671,50.0,20,0.95,0.2,0.2,100
-6.666666666666671,58.668052705684886,20,0.8,0.24,0.22,100
-6.666666666666671,67.33610541136977,20,0.54,0.26,0.18,100
-6.666666666666671,76.00415811705466,20,0.88,0.29,0.26,100
-6.666666666666671,84.67221082273954,20,0.79,0.23,0.18,100
-6.666666666666671,93.34026352842444,20,0.62,0.22,0.15,100
-6.666666666666671,102.00831623410932,20,0.79,0.13,0.13,100
-6.666666666666671,110.67636893979422,20,0.81,0.17,0.16,100
-6.666666666666671,119.3444216454791,20,0.9,0.29,0.28,100
-6.666666666666671,128.01247435116397,20,0.97,0.23,0.22,100
-6.666666666666671,136.68052705684886,20,1.0,0.19,0.19,100
-6.666666666666671,145.34857976253377,20,0.7,0.16,0.13,100
