club,aim_yards,mean_expected_strokes,birdie_rate,bogey_plus_avoidance,double_plus_avoidance,all_strokes
Driver,13,3.0134963026806054,0.5,1.0,1.0,"[array(2.96930226), array(3.18256621), array(2.77321764), array(2.95185691), array(3.18205496), array(2.86832088), array(2.92415337), array(3.16756438), array(3.15811793), array(2.93184233), array(3.15882061), array(3.08876567), array(3.11639921), array(3.0244664), array(3.21250375), array(2.74300508), array(2.93585103), array(2.86746716), array(2.86452848), array(3.1491218)]"
Driver,14,3.0952266060901223,0.25,1.0,1.0,"[array(2.96733522), array(3.1722917), array(3.18877381), array(3.06489271), array(2.98268197), array(3.18463931), array(3.18890343), array(2.94441344), array(3.22122401), array(3.01890731), array(3.22775448), array(2.84694699), array(3.16969474), array(3.06368877), array(3.11860245), array(3.13567789), array(3.19641074), array(3.16400519), array(2.83503729), array(3.21265067)]"
Driver,15,3.0665079621020874,0.2,1.0,1.0,"[array(3.16891732), array(2.9463302), array(3.18013304), array(3.0232005), array(3.05242303), array(3.12683244), array(3.10043721), array(3.237795), array(3.18896403), array(3.0338285), array(3.08247521), array(3.14360301), array(3.07275488), array(3.17852564), array(2.63176871), array(3.08836379), array(3.10657247), array(2.94365726), array(3.04878298), array(2.97479403)]"
Driver,16,3.0518616467070414,0.3,1.0,1.0,"[array(3.16184516), array(3.00343785), array(3.17783049), array(2.94991253), array(2.80505631), array(3.09360559), array(3.21423508), array(3.16291546), array(2.95497952), array(2.88628558), array(3.1674328), array(3.1309932), array(3.06738281), array(3.01313743), array(2.76644495), array(3.05476534), array(2.94388621), array(3.15118903), array(3.17034844), array(3.16154916)]"
Driver,17,3.041208001948805,0.35,1.0,1.0,"[array(3.16435432), array(2.81549869), array(3.16396987), array(2.82820027), array(3.15397576), array(2.9040726), array(3.2333492), array(3.03620433), array(3.20305057), array(2.94568416), array(2.77075618), array(3.09166006), array(3.11048962), array(2.87713033), array(3.18770319), array(2.8308079), array(3.08538747), array(3.18214542), array(3.19122113), array(3.04849898)]"
Driver,18,3.0624089767365867,0.3,1.0,1.0,"[array(3.22028133), array(3.17183488), array(3.00456536), array(2.82397261), array(3.03502304), array(3.05640235), array(3.04143195), array(3.1656369), array(3.16601593), array(3.15010151), array(2.92120063), array(2.98158334), array(2.99499125), array(3.16816995), array(3.08176569), array(2.93800301), array(2.82162909), array(3.16026554), array(3.18139166), array(3.16391349)]"
Driver,19,3.0335559187492653,0.3,1.0,1.0,"[array(2.79902171), array(2.59930847), array(3.17048477), array(2.62779355), array(3.18643188), array(3.18977217), array(2.87714157), array(3.17166801), array(3.18633284), array(3.01094433), array(3.1634663), array(3.19063415), array(3.04070955), array(3.20260685), array(3.07247317), array(3.20356029), array(2.8364336), array(2.92081409), array(3.16091353), array(3.06060755)]"
Driver,20,3.092164002960574,0.2,1.0,1.0,"[array(2.97427125), array(3.20379592), array(3.15681174), array(3.08273121), array(3.15207487), array(2.96865557), array(3.19293276), array(3.03693838), array(3.17543591), array(3.20309567), array(2.94697234), array(2.84632883), array(3.05422297), array(3.04240757), array(3.15809358), array(3.06330238), array(3.01009657), array(3.20707845), array(3.21725592), array(3.15077817)]"
3-wood,-20,2.769299460092424,0.95,1.0,1.0,"[2.6132186659418317, array(2.86491654), array(2.79601943), array(2.75333326), 2.686457752129325, array(2.99370898), array(2.7991864), array(3.09168452), array(2.75013108), array(2.7533261), array(2.91520794), array(2.80661571), 2.695035414009558, array(2.68670401), 2.6043294222081563, array(2.84980501), 2.7305537664717074, array(2.73143213), array(2.66349305), array(2.60083002)]"
3-wood,-19,2.756193878822719,1.0,1.0,1.0,"[array(2.8511921), array(2.81532962), 2.5120300431619067, array(2.72381307), array(2.78136935), array(2.87964509), array(2.73857217), array(2.72432808), 2.508039197513545, array(2.93927813), array(2.72045632), array(2.92005933), array(2.91419273), array(2.72224009), array(2.97661208), array(2.89299088), array(2.57310191), array(2.8161317), 2.3814830063648715, array(2.73301268)]"
3-wood,-18,2.748281582227821,1.0,1.0,1.0,"[array(2.74748317), array(2.74956243), array(2.69475838), array(2.77952212), array(2.70857362), array(2.68199593), array(2.87553457), array(2.65315663), array(2.77113323), 2.6883369500170327, array(2.66102536), array(2.93133616), array(2.80981089), array(2.79990637), array(2.70622681), array(2.70360988), array(2.71011266), array(2.70443453), array(2.79953318), array(2.78957876)]"
3-wood,-17,2.6945762662217945,1.0,1.0,1.0,"[array(2.93303235), array(2.75254692), array(2.67683155), array(2.89332335), array(2.74495103), array(2.77682686), array(2.68443285), array(2.79878217), 2.555417393695067, 2.1264447496384578, array(2.8428755), array(2.77243119), array(2.88585862), array(2.67678438), array(2.82012713), array(2.71010332), 2.480776612458655, 2.758658028294166, array(2.79442033), 2.206900999013297]"
3-wood,-16,2.7312431748503334,1.0,1.0,1.0,"[array(2.89494637), array(2.6874853), 2.7122696791403498, 2.5535307833203547, array(2.79400699), array(2.73670005), array(2.83953725), array(2.69909566), 2.5486515137811776, array(2.76653409), array(2.77960971), array(2.66120686), array(2.66569083), array(2.94088748), array(2.5869867), array(2.97942844), array(2.639487), array(2.87658561), 2.443238321653868, array(2.81898485)]"
3-wood,-15,2.7436902137256265,0.95,1.0,1.0,"[array(2.6671108), array(2.84940873), array(2.7202483), array(2.67211193), array(2.75292979), array(2.75759103), array(2.83205569), array(2.77743653), array(2.6133582), array(2.72289031), array(2.72874736), array(3.00492916), array(2.66598225), array(2.79547271), array(2.7649989), 2.5312520912222882, array(2.82547627), array(2.61723325), array(2.64596717), array(2.92860378)]"
3-wood,-14,2.644816456331834,1.0,1.0,1.0,"[array(2.76083512), array(2.66163376), array(2.74153724), 2.508716016257548, array(2.70399054), 2.4345847411117107, array(2.78863316), array(2.60462824), array(2.77427882), array(2.81744668), array(2.73737269), 1.917159273928204, array(2.68182788), 2.386419485183781, array(2.63085698), array(2.93271077), array(2.65822828), array(2.85015094), array(2.64796325), array(2.65735526)]"
3-wood,-13,2.726112572543724,1.0,1.0,1.0,"[2.5460040593880446, array(2.74984787), array(2.7987066), array(2.73857266), array(2.76188791), array(2.76895969), array(2.69289638), 2.5443898545514836, array(2.74740812), 2.523322990569445, array(2.93375152), array(2.68090557), array(2.84789075), array(2.91332055), array(2.68446055), array(2.71117752), array(2.68343615), array(2.80424509), 2.518590859312308, array(2.87247675)]"
3-wood,-12,2.7150784386855884,1.0,1.0,1.0,"[2.5408195792984216, array(2.60305119), array(2.82265857), array(2.89746668), 2.5563057201811845, array(2.75023546), array(2.67019857), array(2.95236174), array(2.81236606), array(2.6349005), array(2.83220473), array(2.79388283), array(2.82266933), array(2.73676373), 2.457418688791986, array(2.69816413), array(2.67687834), 2.550260340056068, array(2.76305067), array(2.72991192)]"
3-wood,-11,2.6970114871048048,1.0,1.0,1.0,"[2.5294088726190886, array(2.6055542), array(2.67553153), array(2.78620412), array(2.91045046), array(2.68514337), array(2.88548745), array(2.67462729), array(2.61142121), array(2.72151707), array(2.6687872), array(2.68270395), 2.5439505451243014, array(2.72905674), array(2.68120577), array(2.73635369), array(2.55305842), array(2.81106515), array(2.71276519), array(2.7359375)]"
3-wood,-10,2.708530800442531,0.95,1.0,1.0,"[array(2.69569085), 2.5175487938056684, 2.448154924848308, array(2.70930038), array(2.80285608), array(2.88809736), array(2.7676862), array(2.7878954), array(2.62111988), array(2.71029438), array(3.00499861), array(2.96947079), 2.3339718309410067, 2.3420354133427113, array(2.71555044), array(2.662455), array(2.85196132), array(2.75542625), array(2.84272634), array(2.74337579)]"
3-wood,-9,2.680832113752801,1.0,1.0,1.0,"[2.5085391446879335, array(2.73108952), array(2.6784392), array(2.83285656), 2.504390512413274, array(2.74545037), array(2.7734659), 2.6771309416766464, array(2.79547722), 2.2112681179626246, array(2.76778211), array(2.75753944), array(2.60051604), array(2.77166558), array(2.81409053), array(2.76569888), array(2.72929593), array(2.73777865), 2.445957160140455, array(2.76821047)]"
3-wood,-8,2.70601765279959,1.0,1.0,1.0,"[array(2.76719323), array(2.97272536), array(2.66321987), 2.4823998432889076, array(2.71337448), array(2.65434444), 2.4219244911395985, array(2.57554645), array(2.56204092), array(2.81657843), array(2.69459536), array(2.85991083), array(2.93763948), 2.506206501802787, array(2.57631731), array(2.79375245), array(2.72330532), array(2.89284342), array(2.81461683), array(2.69181804)]"
3-wood,-7,2.694458645141022,1.0,1.0,1.0,"[array(2.69772856), array(2.73955709), array(2.68275767), array(2.58200503), array(2.92440589), array(2.74527418), array(2.69637184), array(2.50748019), array(2.7962063), array(2.75723168), array(2.78570914), array(2.63898158), array(2.83221449), array(2.92962939), 2.4910146966219893, 2.5709590140609726, 2.2723063061297943, array(2.67469721), array(2.79012319), array(2.77451944)]"
3-wood,-6,2.727154924944686,1.0,1.0,1.0,"[array(2.74810543), array(2.65219793), array(2.98006678), array(2.60061783), array(2.78855966), array(2.8007493), array(2.82584818), array(2.76271978), array(2.67060613), array(2.69211515), array(2.74304139), array(2.79502128), 2.531538426082949, 2.619104096137899, array(2.68589424), array(2.67969496), array(2.7841456), array(2.89915674), array(2.64048494), array(2.64343065)]"
3-wood,-5,2.6996919709275504,1.0,1.0,1.0,"[array(2.70669762), array(2.75791246), array(2.77850287), array(2.51936188), array(2.77205138), 2.5316516641596336, array(2.88714778), array(2.6907011), array(2.94693473), array(2.69869134), array(2.65875236), array(2.84548002), array(2.6828663), 1.972214276411076, array(2.7844297), array(2.75079667), array(2.65489498), array(2.7675534), array(2.92094829), 2.666250620097082]"
3-wood,-4,2.674852456796862,1.0,1.0,1.0,"[array(2.72414349), 2.8075286120316774, 2.504479614094904, array(2.65695065), array(2.75746597), array(2.72774241), array(2.7005642), array(2.72378436), array(2.84012377), array(2.87846111), array(2.63907985), array(2.6016434), 2.656780353693241, array(2.6739945), 2.3971781326556902, array(2.91174406), 2.6529073292100667, array(2.61581746), array(2.60293143), 2.423728430690093]"
